"SQL Editor","Next query","Alt+Down","SQL Editor Context"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Result Set","Next row","Ctrl+Right","In Windows"
"View","Zoom In","Ctrl++","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"SQL Editor","Toggle Line Comment","Ctrl+/","SQL Editor Context"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Result Set","Reject changes","Ctrl+Alt+R","Results viewer context"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Result Set","First row","Shift+Ctrl+Left","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Connection","New SQL Editor","Ctrl+T","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"SQL Editor","Select row count","Ctrl+Alt+C","SQL Editor Context"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Move Lines Up","Shift+Ctrl+Up","SQL Editor Context"
"SQL Editor","Switch active panel","Alt+F6","SQL Editor Context"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Oracle","Compile","Ctrl+F9","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Result Set","Fetch Next Page","Ctrl+Alt+PageDown","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"File","New","Ctrl+N","In Windows"
"Edit","Context Information","Ctrl+Alt+Space","SQL Editor Context"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Result Set","Toggle Grid/Record view","Tab","Results viewer context"
"Result Set","Navigate link","Alt+Space","Results viewer context"
"View","Zoom In","Ctrl+=","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Edit","Word Completion","Shift+Ctrl+Space","SQL Editor Context"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Result Set","Reset cell changes","Esc","Results viewer context"
